# x x_err y y_err
1.472453950201102479e-01 6.329901153938217728e-01 2.544941918730646790e+00 5.672962222886884120e+00
4.322415976066085186e-01 1.785242837226723167e-01 1.475240425317415216e+01 2.016885565912351908e+00
4.542414626772095509e-01 2.068258148065585389e-02 2.188453105608983407e+01 5.556876510167246819e-01
4.560774205939499559e-01 4.178268764129058344e-01 5.589404794426727996e+00 1.843879470231475581e+00
6.163566913587881224e-01 7.373414723521785064e-01 1.819730691273680279e+01 9.855062800631497311e+00
8.322834772378495671e-01 1.431539545366654342e-01 1.144995767194639669e+01 1.048490264526876459e+01
8.760753157445755335e-01 7.310872459083975206e-02 1.235599488592246686e+01 4.469056756638934980e-01
1.166054833781320355e+00 9.839649567899414473e-01 2.830080892192744280e+00 9.009529665853764913e-01
1.276345122083506478e+00 1.651372607364429146e-01 4.457545940300770226e+00 5.481200787331927060e+00
1.654599998448771370e+00 5.913697555115288162e-01 1.018397100546010847e+01 4.128305163836736291e+00
1.688886422797781783e+00 1.496477992695760262e-01 6.912488124769739173e+00 1.765351863091275675e+00
1.752998386322019986e+00 4.924718832085123177e-01 1.352242822718479687e+01 2.931423976928199115e-02
1.800957215512835052e+00 3.825583811161858971e-01 1.161611027782904948e+01 1.669541057287768027e+00
1.883546957752990636e+00 2.626130322678765783e-01 9.826320486525862208e+00 4.066844029747029410e+00
1.927819243069985866e+00 1.164234866217582320e+00 1.755257126696818304e+01 7.847837466544845597e+00
2.068059354451032839e+00 3.106933396121930313e-01 1.538906648935656563e+01 1.026491717995645914e+01
2.290601470719468846e+00 5.192446018681724507e-01 2.420284000986783468e+01 5.486920564948039925e+00
2.360118042410306316e+00 3.514635890435131582e-01 2.019650102878949482e+01 2.193376424696665161e+00
2.562272653510917486e+00 5.657865064371220276e-01 2.389970751626984935e+01 1.365957933243808986e+00
2.598430106709432863e+00 2.924754830529315841e-01 1.988880078132307716e+01 9.786155812147583788e+00
2.795049672186196155e+00 2.168105117095479872e-02 2.433719736088467300e+01 5.629966849536490514e+00
2.795939962553148916e+00 7.961873693228299631e-02 1.346912745194897099e+01 4.710455581708136386e+00
2.890483777320937975e+00 2.273938477146952020e-01 1.978666171182382527e+01 1.838542262254784898e+00
3.046242054263368360e+00 3.230361007410402774e-01 7.841825211499758197e+00 1.935391181751625389e+00
3.085789841350956575e+00 1.274917401703900000e-01 1.274803629115443826e+01 1.321819190200475447e+00
3.225435580672035840e+00 5.128028818836241065e-01 4.263809365919588146e+00 1.026628247076910139e+00
3.339458398154078189e+00 5.389687871598096702e-01 5.484990225452737178e+00 3.195855584876966748e+00
3.411859370737722053e+00 1.862939588610597608e-01 -1.755583391005847815e+00 1.596292419420076714e+00
3.535455658784634192e+00 8.895456282052174313e-01 -1.442793088125823076e+01 5.419257663671792180e+00
3.789427181685713908e+00 1.799958067867191147e-01 -9.745218448067572981e-01 5.609691130712020524e+00
3.892774157039351479e+00 4.068083694505872372e-02 -1.293334351842580610e+00 1.316953118113422250e-01
3.998164049502166417e+00 2.429130698012714473e-01 8.293298202606486313e+00 1.308836863297916153e+01
4.047267295904606321e+00 7.530008708534123851e-01 2.155009716846186052e+01 1.215398713126375707e+00
4.291693456390584416e+00 2.096912506819281763e-01 3.121291511062985080e+01 7.266072533030863312e+00
4.538186981017682697e+00 1.054636154168685780e-01 3.003319106474208766e+01 5.576008908660409213e-01
4.544774435695537740e+00 6.531443550299443901e-01 2.843084748120897132e+01 3.003885476648983754e+00
4.678789717306814921e+00 3.143782192308067769e-01 3.096359281719933065e+01 1.839159719634576862e-01
